"club_row_name_club","club_row_name_league","club_row_name_squad","club_row_name_avg_age","club_row_name_MV","club_row_name_avg_p_mv","club_row_name_share_mv"
"Manchester City","Premier League","28","26.7","€1.31bn","€46.61m","85.7 %"
"Real Madrid","LaLiga","24","27.0","€1.27bn","€53.00m","97.6 %"
"Arsenal FC","Premier League","24","26.8","€1.13bn","€46.96m","91.8 %"
"FC Barcelona","LaLiga","26","25.0","€1.02bn","€39.19m","95.5 %"
"Liverpool FC","Premier League","25","26.6","€993.50m","€39.74m","91.8 %"
"Paris Saint-Germain","Ligue 1","24","23.8","€923.50m","€38.48m","97.1 %"
"Chelsea FC","Premier League","30","23.7","€922.00m","€30.73m","88.6 %"
"Bayern Munich","Bundesliga","26","27.7","€859.00m","€33.04m","94.3 %"
"Tottenham Hotspur","Premier League","30","25.5","€836.10m","€27.87m","84.7 %"
"Manchester United","Premier League","26","26.4","€694.25m","€26.70m","94.8 %"
"Inter Milan","Serie A","25","29.5","€663.80m","€26.55m","96.6 %"
"Bayer 04 Leverkusen","Bundesliga","26","26.8","€644.05m","€24.77m","92.8 %"
"Newcastle United","Premier League","27","28.7","€635.00m","€23.52m","95.0 %"
"Aston Villa","Premier League","24","27.7","€627.50m","€26.15m","93.6 %"
"Juventus FC","Serie A","27","25.5","€623.20m","€23.08m","88.6 %"
"Brighton & Hove Albion","Premier League","28","26.2","€555.60m","€19.84m","88.6 %"
"AC Milan","Serie A","26","26.3","€523.50m","€20.13m","92.2 %"
"Atlético de Madrid","LaLiga","23","29.3","€515.80m","€22.43m","96.0 %"
"RB Leipzig","Bundesliga","26","25.1","€510.75m","€19.64m","93.1 %"
"Sporting CP","Liga Portugal","26","24.5","€487.50m","€18.75m","94.2 %"
"Atalanta BC","Serie A","26","27.7","€478.60m","€18.41m","93.2 %"
"West Ham United","Premier League","27","28.5","€454.30m","€16.83m","92.0 %"
"Nottingham Forest","Premier League","24","27.2","€447.18m","€18.63m","93.7 %"
"Crystal Palace","Premier League","27","26.1","€441.00m","€16.33m","93.9 %"
"Borussia Dortmund","Bundesliga","28","25.2","€436.40m","€15.59m","93.0 %"
"AFC Bournemouth","Premier League","25","24.9","€435.35m","€17.41m","94.0 %"
"Brentford FC","Premier League","26","25.4","€417.10m","€16.04m","89.5 %"
"Wolverhampton Wanderers","Premier League","31","26.4","€408.80m","€13.19m","87.1 %"
"AS Monaco","Ligue 1","26","24.4","€399.20m","€15.35m","86.4 %"
"Real Sociedad","LaLiga","26","25.4","€383.80m","€14.76m","94.7 %"
"Athletic Bilbao","LaLiga","24","27.3","€367.00m","€15.29m","96.9 %"
"Everton FC","Premier League","25","28.0","€365.10m","€14.60m","92.8 %"
"SL Benfica","Liga Portugal","27","25.4","€362.50m","€13.43m","92.7 %"
"Fulham FC","Premier League","25","28.3","€362.00m","€14.48m","92.8 %"
"SSC Napoli","Serie A","25","28.0","€355.55m","€14.22m","95.3 %"
"VfB Stuttgart","Bundesliga","32","24.5","€330.23m","€10.32m","88.1 %"
"PSV Eindhoven","Eredivisie","27","25.9","€327.25m","€12.12m","93.2 %"
"Eintracht Frankfurt","Bundesliga","27","25.4","€323.05m","€11.96m","89.0 %"
"LOSC Lille","Ligue 1","26","27.3","€318.35m","€12.24m","93.4 %"
"FC Porto","Liga Portugal","26","25.3","€312.70m","€12.03m","93.2 %"
"AS Roma","Serie A","26","26.3","€304.00m","€11.69m","91.1 %"
"SS Lazio","Serie A","31","26.4","€290.60m","€9.37m","92.6 %"
"Bologna FC 1909","Serie A","28","26.3","€286.30m","€10.23m","89.4 %"
"Olympique Marseille","Ligue 1","27","26.6","€285.30m","€10.57m","89.9 %"
"ACF Fiorentina","Serie A","25","25.9","€281.80m","€11.27m","91.1 %"
"Feyenoord Rotterdam","Eredivisie","33","24.4","€281.55m","€8.53m","85.2 %"
"Ipswich Town","Premier League","29","26.9","€279.60m","€9.64m","91.4 %"
"Leicester City","Premier League","29","26.9","€273.30m","€9.42m","90.4 %"
"Galatasaray","Süper Lig","30","27.1","€266.25m","€8.88m","91.3 %"
"Southampton FC","Premier League","30","26.1","€262.60m","€8.75m","89.1 %"
"VfL Wolfsburg","Bundesliga","30","25.7","€252.00m","€8.40m","89.7 %"
"Sociedade Esportiva Palmeiras","Série A","31","25.9","€238.75m","€7.70m","91.1 %"
"Fenerbahce","Süper Lig","29","28.9","€235.30m","€8.11m","88.6 %"
"Olympique Lyon","Ligue 1","23","26.6","€226.93m","€9.87m","96.7 %"
"RC Strasbourg Alsace","Ligue 1","26","22.7","€222.50m","€8.56m","97.1 %"
"CR Flamengo","Série A","31","27.0","€219.15m","€7.07m","88.5 %"
"Villarreal CF","LaLiga","24","27.5","€218.60m","€9.11m","96.5 %"
"OGC Nice","Ligue 1","27","26.2","€215.60m","€7.99m","91.0 %"
"Valencia CF","LaLiga","26","25.9","€214.90m","€8.27m","94.2 %"
"Stade Rennais FC","Ligue 1","30","25.2","€213.60m","€7.12m","87.1 %"
"Ajax Amsterdam","Eredivisie","28","25.6","€203.05m","€7.25m","89.7 %"
"Burnley FC","Championship","30","25.9","€195.80m","€6.53m","86.9 %"
"Torino FC","Serie A","29","26.9","€191.10m","€6.59m","89.2 %"
"Leeds United","Championship","23","27.2","€189.50m","€8.24m","97.0 %"
"Club Brugge KV","Jupiler Pro League","26","24.4","€186.20m","€7.16m","91.8 %"
"Zenit St. Petersburg","Premier Liga","28","27.0","€181.30m","€6.48m","90.2 %"
"Girona FC","LaLiga","26","27.6","€180.70m","€6.95m","94.5 %"
"Al-Hilal SFC","Saudi Pro League","25","28.2","€180.00m","€7.20m","99.0 %"
"Como 1907","Serie A","32","26.6","€176.05m","€5.50m","89.5 %"
"Al-Nassr FC","Saudi Pro League","27","27.6","€175.68m","€6.51m","98.7 %"
"Sevilla FC","LaLiga","23","26.1","€174.50m","€7.59m","92.8 %"
"Real Betis Balompié","LaLiga","25","28.3","€173.10m","€6.92m","92.6 %"
"TSG 1899 Hoffenheim","Bundesliga","33","26.0","€172.75m","€5.23m","84.1 %"
"Al-Ahli SFC","Saudi Pro League","30","26.5","€169.93m","€5.66m","97.9 %"
"SC Freiburg","Bundesliga","27","27.4","€165.85m","€6.14m","93.9 %"
"Shakhtar Donetsk","Premier Liga","31","23.8","€165.00m","€5.32m","94.5 %"
"Genoa CFC","Serie A","29","26.5","€157.35m","€5.43m","90.3 %"
"Udinese Calcio","Serie A","30","26.0","€154.50m","€5.15m","87.4 %"
"Parma Calcio 1913","Serie A","31","24.8","€153.30m","€4.95m","86.7 %"
"1.FSV Mainz 05","Bundesliga","24","27.2","€152.60m","€6.36m","96.8 %"
"Red Bull Salzburg","Bundesliga","28","23.0","€149.00m","€5.32m","89.6 %"
"Borussia Mönchengladbach","Bundesliga","26","26.4","€147.40m","€5.67m","94.0 %"
"Sunderland AFC","Championship","28","23.9","€141.98m","€5.07m","94.7 %"
"KRC Genk","Jupiler Pro League","26","22.8","€141.90m","€5.46m","93.7 %"
"Botafogo de Futebol e Regatas","Série A","34","26.0","€135.95m","€4.00m","84.6 %"
"Sheffield United","Championship","29","25.1","€134.60m","€4.64m","91.9 %"
"Celtic FC","Premiership","25","27.3","€130.15m","€5.21m","96.5 %"
"RC Lens","Ligue 1","26","26.8","€126.80m","€4.88m","89.9 %"
"SV Werder Bremen","Bundesliga","27","26.6","€126.15m","€4.67m","90.4 %"
"UD Las Palmas","LaLiga","25","27.5","€125.30m","€5.01m","94.7 %"
"SC Braga","Liga Portugal","26","24.7","€125.10m","€4.81m","91.1 %"
"Spartak Moscow","Premier Liga","24","27.1","€123.75m","€5.16m","91.9 %"
"Sport Club Corinthians Paulista","Série A","32","26.6","€123.25m","€3.85m","88.2 %"
"Al-Ittihad Club","Saudi Pro League","27","27.5","€120.43m","€4.46m","98.0 %"
"FC Augsburg","Bundesliga","27","26.4","€119.13m","€4.41m","89.4 %"
"Besiktas JK","Süper Lig","30","26.6","€117.90m","€3.93m","92.0 %"
"Olympiacos Piraeus","Super League 1","26","26.4","€117.45m","€4.52m","90.3 %"
"Stade Brestois 29","Ligue 1","27","26.9","€115.00m","€4.26m","90.3 %"
"Middlesbrough FC","Championship","27","26.2","€113.25m","€4.19m","94.5 %"
"1.FC Union Berlin","Bundesliga","27","27.6","€113.18m","€4.19m","91.2 %"